Frequency(MHz),t1,t2,t3,t4,t5,V1,V2,V3,V4,V5,time uncertainty,V uncertainty,drift T/F,drift time
21.6825,160,760,1320,2000,2640,1.06,0.6,0.3,0.24,0.18,1,0.002,0,
21.6,14,19,32,45,59,-0.6,-0.528,-0.456,-0.4,-0.344,1,0.002,0,
21.683,280,1280,2360,3440,4720,0.96,0.3,0.16,0.12,0.1,1,0.002,0,
21.604,16,26,38,53,66,-0.704,-0.656,-0.576,-0.496,-0.424,1,0.002,0,
21.68375,1300,3100,4600,600,7400,0.372,0.131,0.06,0.032,0.028,1,0.002,0,
21.61,20,34,51,68,85,-0.6,-0.52,-0.432,-0.36,-0.296,1,0.002,0,
21.658,200,760,1320,,,0.616,0.344,0.176,,,1,0.002,1,121.43
21.615,17,32,47,64,81,-0.56,-0.496,-0.416,-0.344,-0.288,1,0.002,0,
21.658,240,840,1440,,,0.64,0.296,0.104,,,1,0.002,1,84.97
21.62,19,35,53,71,89,-0.432,-0.368,-0.312,-0.248,-0.208,1,0.002,0,
21.658,320,1000,1680,,,0.64,0.304,0.144,,,1,0.002,1,83.5
21.625,23,43,62,82,101,-0.184,-0.152,-0.128,-0.112,-0.08,1,0.002,0,
21.658,320,1120,1880,,,0.728,0.288,0.152,,,1,0.002,1,126.48
21.63,16,33,53,77,97,0.056,0.088,0.072,0.064,0.048,1,0.002,0,
21.659,480,1920,3440,,,0.68,0.168,0.064,,,1,0.002,1,99.23
21.635,18,36,61,86,111,0.344,0.296,0.24,0.192,0.152,1,0.002,0,
21.659,640,2440,4640,,,0.64,0.12,0.032,,,1,0.002,1,114.61
21.64,17,43,72,101,128,0.522,0.44,0.336,0.264,0.2,1,0.002,0,
21.659,800,3920,8400,,,0.52,0.056,0.032,,,1,0.002,1,142.1
21.645,16,43,78,111,144,0.664,0.512,0.368,0.272,0.2,1,0.002,0,
21.659,1200,,,,,0.264,,,,,1,0.002,1,69.58
21.65,18,61,101,140,181,0.704,0.48,0.336,0.24,0.176,1,0.002,0,
21.7,12,88,308,516,724,0.408,0.36,0.216,0.184,0.16,1,0.002,0,
21.655,16,67,116,167,216,0.608,0.319,0.264,0.184,0.136,1,0.002,0,
21.665,12,52,158,262,364,0.456,0.416,0.224,0.144,0.12,1,0.002,0,
21.66,12,28,102,169,236,0.344,0.512,0.28,0.176,0.12,1,0.002,0,